user,text,time,latitude,longitude,label
Carl THE FOG Marks,"Damn, here we go again. One week into #applefire pic.twitter.com/t1dpzO7Vln",2020-08-07 23:17:29,,,
EdL,"The view from Desert Hot Springs (August 6, 2020) #AppleFire #deserthotspringspic.twitter.com/YYBuqKsoga",2020-08-07 23:17:21,33.9617197,-116.5803194,
Center for CommunityAction & EnvironmentalJustice,🚨 Be safe everyone! #AppleFire 🚨 https://twitter.com/cleanairca/status/1291873471937486848 …,2020-08-07 23:11:12,,,
Rich Thompson,Latest update on the #AppleFire. https://twitter.com/SanBernardinoNF/status/1291159837171220482 …,2020-08-05 23:56:25,,,
AI6YR,#AppleFire https://twitter.com/SanBernardinoNF/status/1291159837171220482 …,2020-08-05 23:53:01,,,
Duncan-not,"If you want the full picture of today’s comments on the #AppleFire posts of the facebook page of @RileysFarm76, you’ll have to check it out yourself because there’s too much to post here. But I’ll give you a little bit of a taste.",2020-08-05 23:36:38,,,
Alyssa,#AppleFire https://twitter.com/wildfiretoday/status/1290762390431313921 …,2020-08-05 22:47:57,,,
Fernando Sedeno,Bambi Bucket Reloading at the #applefire 8-2-20 pic.twitter.com/I6p7wuzurD,2020-08-05 22:37:37,,,
Armando Alvarez,El incendio forestal #AppleFire sigue sin ser controlado; autoridades de California contabilizan más de 10 mil hectáreas afectadas. pic.twitter.com/cnbv7DBmmV,2020-08-05 22:31:29,,,
CA Fire Scanner,"#AppleFire (#CherryValley, Riverside Co) - AA placing all the tankers on a hold due to visibility issues.pic.twitter.com/OUJd5w0VHW",2020-08-05 22:19:20,,,
WorldAware,"The Apple fire in San Bernadino & Riverside counties is more than 26,000 acres in size and only 20% contained. Stay up-to-date with our intelligence alerts as our team continues to monitor the situation: https://bit.ly/3fwJjXF .
#AppleFire pic.twitter.com/vKwhooN2js",2020-08-05 22:17:02,34.1489985,-117.3646844,
✨ Della ✨,#AppleFire is so intense 😫 https://twitter.com/CuriousQuail/status/1290810010881073152 …,2020-08-05 22:13:00,,,
Alyssa,#AppleFire seems to have flared up this afternoon. They didn’t have  a VLAT need this morning https://twitter.com/CAFireScanner/status/1291120914201944064 …,2020-08-05 22:11:07,,,
Fremont Fire Department,The photos are from Engine 8231’s assignment/deployment at the #AppleFire in Riverside County.,2020-08-05 22:02:17,,,
Wildfire Incidents,"Page 1 There are 3 pages
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 4,100 acres 20% contained 
#HogFire 9,564 acres 96% contained 
#GoldFire 22,634 acres 96% contained 
#NorthFire 6,910 acres 40% contained 
#DamFire 220 acres 95% contained",2020-08-05 19:38:39,,,
🤔💡 Kathologist (6 feet to defeat)💨⚗🧜🏽,"Ongoing wildfires in #NorCalFires2020 THREAD
EACH IS POSTED BELOW
TODAY'S NEW FIRES ALSO POSTED BELOW
#RedSalmonComplex Trinity
#NorthFire Lassen
#JulyComplex Siskiyou-Modoc
#HogFire - Lassen
Smaller fires & new starts are also being tracked here:
https://yubanet.com/featured/now/ ",2020-08-05 18:43:07,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMUpic.twitter.com/4KxIYgwgQK",2020-08-05 14:49:25,40.2444784,-123.3220151,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/ChqSAKEm8H",2020-08-05 14:48:31,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/sHHmQDsIX5",2020-08-05 14:37:07,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/2jPFodpXlx",2020-08-05 14:23:13,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMUpic.twitter.com/MnHdkJFy9i",2020-08-05 7:49:12,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/kmUHa0fNrb",2020-08-05 7:48:21,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
CALFIRELMU pic.twitter.com/O69OycZ06o #QuakeFactor",2020-08-05 7:46:25,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 95% contained. CALFIRELMU pic.twitter.com/SLgqnSz9F3 #QuakeFactor",2020-08-05 7:46:20,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/yItwAhfcwQ",2020-08-05 7:37:11,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
@CALFIRELMU pic.twitter.com/D0k80OFMzI",2020-08-05 2:19:03,,,
Wildfire Incidents,"California Wildfires 8/3/2020
Page 1 There are 4 pages
#SitesFire 540 acres 20% contained 
#Milepost2Fire 100 acres and is 90% contained 
#HogFire 9,564 acres 94% contained 
#GoldFire 22,634 acres 95% contained 
#NorthFire 6,300 acres 0% contained",2020-08-03 18:35:31,,,
LatLongLiz,"Fires across CA this morning (3 Aug 2020). 
#StumpFire #HogFire #GoldFire #AppleFire #WaterFire
GOES-17pic.twitter.com/3d5cM2mI3X",2020-08-03 15:22:21,,,
Larry StCroix,Making the list My gang is still away on #HogFire Hotspot eradication continues long after fire is declared contained This is the time of year we like to replace iffy posts but not even going to think about fence repairs until they are back. #BalingString looks terrible but works,2020-08-03 15:13:05,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMUpic.twitter.com/hqmCuGBRtM",2020-08-03 14:49:20,40.4077315,-120.6182304,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/sVR9nwsaDN",2020-08-03 14:48:20,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
CALFIRELMU pic.twitter.com/y4J2cnaoPb #QuakeFactor",2020-08-03 14:46:20,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/HaFctbN7F3",2020-08-03 14:37:31,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/WT81a19FKF",2020-08-03 14:13:27,,,
🤔💡 Kathologist (6 feet to defeat)💨⚗🧜🏽,"#NorCalFires2020 Round Up from the weekend
https://inciweb.nwcg.gov/ 
Siskiyou Co: #CaldwellFire Size: 83,261 Acres
Contained: 97% incident/6881/

Modoc Co: 
#GoldFire 22,634 Acres
Contained: 90%
incident/6881/

#HogFire 9,564 Acres
Contained: 93%",2020-08-03 8:21:05,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
CALFIRELMU pic.twitter.com/Dw1IlYfPpB #QuakeFactor",2020-08-03 7:46:27,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/2KvudwktYj",2020-08-03 3:37:15,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/ouIOnsw9UR",2020-08-03 2:49:26,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/TLtV3YRTGJ",2020-08-03 2:48:17,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 94% contained. 
@CALFIRELMU pic.twitter.com/SolpC6o8AM",2020-08-03 2:40:12,,,
Wildfire Incidents,"Page 1 There are 3 pages 
#CalaverasFire 57 acres 95% contained 
#TrimmerFire 600 acres 25% contained 
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 7,760 acres 57% contained  
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 98% contained",2020-08-09 18:10:43,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ …pic.twitter.com/DiZKpM95Ik",2020-08-09 14:49:23,40.4077315,-120.6182304,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/lhka06NOPM",2020-08-09 14:48:11,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
CALFIRELMU

https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/StTKL6jLbi #QuakeFactor",2020-08-09 14:46:11,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/YIqiaEBXhG",2020-08-09 14:37:11,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/T0aOgPwW75",2020-08-09 14:16:16,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ …pic.twitter.com/wvQcCsBEeU",2020-08-09 2:49:21,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/4aMKIKl4Hj",2020-08-09 2:48:27,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
CALFIRELMU

https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/un4JIzTnFr #QuakeFactor",2020-08-09 2:46:02,,,
Wildfire Incidents,"#CalaverasFire 57 acres 95% contained 
#TrimmerFire 600 acres 20% contained 
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 7,748 acres 46% contained  
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 98% contained",2020-08-09 2:44:11,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/IlcefX82sA",2020-08-09 2:37:04,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/Hi8Pz0fhaK",2020-08-09 1:57:10,,,
Palo Alto Weekly,Four #PaloAlto firefighters who were among a #BayArea team that responded to the #HogFire in Lassen County returned home Wednesday after nine days. https://www.paloaltoonline.com/news/2020/08/02/around-town-palo-alto-firefighters-return-after-nine-days-at-the-hog-fire …,2020-08-02 18:20:03,,,
Wildfire Incidents,"#Milepost2Fire 100 acres and is 90% contained 
#HogFire 9,564 acres 93% contained 
#GoldFire 22,634 acres 90% contained 
#DamFire 220 acres 80% contained 
#SunlandFire 22 acres 40% contained 
#CastaicFire 178 acres 50% contained 
#BlueJayFire 10 acres 0% contained",2020-08-02 16:23:31,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 93% contained. 
@CALFIRELMUpic.twitter.com/YQOqsED3gr",2020-08-02 14:49:10,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 93% contained. 
@CALFIRELMU pic.twitter.com/6qOw3YPx1d",2020-08-02 14:48:17,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 93% contained. 
CALFIRELMU pic.twitter.com/H71E6hNIwT #QuakeFactor",2020-08-02 14:46:17,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 93% contained. 
@CALFIRELMU pic.twitter.com/8Zi8UfQsbD",2020-08-02 14:37:21,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 93% contained. 
@CALFIRELMU pic.twitter.com/SUxnsCCtmi",2020-08-02 14:03:21,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 93% contained. 
CALFIRELMU pic.twitter.com/LfgUcxhIeM #QuakeFactor",2020-08-02 7:46:21,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 93% contained. 
@CALFIRELMUpic.twitter.com/e6rnBVPu7V",2020-08-02 3:37:10,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 93% contained. 
@CALFIRELMUpic.twitter.com/JxbYz082ka",2020-08-02 2:49:15,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 93% contained. 
@CALFIRELMUpic.twitter.com/UpaXJxIIz1",2020-08-02 2:48:23,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 93% contained. 
@CALFIRELMUpic.twitter.com/ApL8ulFVCa",2020-08-02 2:43:43,,,
Bailey Farren,There are 4 large wildfires burning in California right now—from Lassen County to Riverside. Paper maps and binders like these are the primary means of accessing the information we need to respond. #hogfire #goldfire… https://www.instagram.com/p/CDXtsCAJwdF/?igshid=dbu5pcz43a5r …,2020-08-02 2:41:27,,,
Wildfire Incidents,"-Lassen County:
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 97% contained 
#NorthFire Lassen/Plumas 6,910 acres 70% contained 
*For further details about these fires please follow here:
https://www.facebook.com/LassenCountyWildfireIncidents/ …",2020-08-07 17:51:33,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 98% contained. CALFIRELMU 

https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/V4EezCprg2 #QuakeFactor",2020-08-07 7:46:21,,,
Wildfire Incidents,"Page 2 There are 4 pages 
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 97% contained 
#NorthFire 6,910 acres 70% contained 
#DamFire 220 acres 95% contained 
#TexasFire 130 acres 5% contained",2020-08-07 3:25:40,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 98% contained. @CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/NLRvpxZtyp",2020-08-07 2:49:20,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 98% contained. @CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/nzIQ5z3c3k",2020-08-07 2:48:28,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 98% contained. @CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/4tKB3xOgRM",2020-08-07 2:37:23,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 98% contained. @CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/q2SEYeNiO2",2020-08-07 2:10:40,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 97% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ … CALFIRELMU pic.twitter.com/tSTpIQHg5E #QuakeFactor",2020-08-06 7:46:21,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 96% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ …
CALFIRELMU pic.twitter.com/qGAPLVFXFb #QuakeFactor",2020-08-06 7:46:18,40.4077315,-120.6182304,
Wildfire Incidents,"Page 1 There are 3 pages 
#TrimmerFire 50 acres 25% contained 
#MeadowFire 0.3 acres 0% contained 
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 4,250 acres 10% contained 
#HogFire 9,564 acres 97% contained 
#GoldFire 22,634 acres 96% contained",2020-08-06 5:20:00,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 97% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ … @CALFIRELMU pic.twitter.com/Tpcoiw7xwv",2020-08-06 3:37:27,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 97% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ … @CALFIRELMU pic.twitter.com/MUxL6Qzp7n",2020-08-06 2:49:11,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 97% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ … @CALFIRELMU pic.twitter.com/hGaFPBTpml",2020-08-06 2:48:26,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 97% contained. https://www.fire.ca.gov/incidents/2020/7/18/hog-fire/ … @CALFIRELMU pic.twitter.com/pYmVjzjW1a",2020-08-06 2:42:55,,,
Five Cities Fire,FCFA Heavy Equipment Boss’ still working the #HogFire in Lassen County. They are supervising contract heavy equipment operators with remediation efforts. #5citiesfirepic.twitter.com/LFoiN6RDuW,2020-08-01 22:47:17,,,
College Football Today,"Top 2023 RB recruit Richard Young earned an offer to @RazorbackFB! 

https://www.collegefootballtoday.org/top2023runningbackrecruits.html …
#Congratulations #HogFire https://twitter.com/richard39495691/status/1286701853900759041 …",2020-08-01 8:35:01,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 92% contained. 
CALFIRELMU pic.twitter.com/z7ZRMyKCGY #QuakeFactor",2020-08-01 7:46:29,,,
QuakeFactor,#HogFire #QuakeFactor,2020-08-01 7:46:24,,,
Wildfire Incidents,"#Milepost2Fire 100 acres and is 90% contained 
#HogFire 9,564 acres 92% contained 
#GoldFire 21,870 acres 85% contained
#AdamsFire 918 acres 95% contained
 #DamFire 217 acres 40% contained 
#BlueJayFire 4 acres 0% contained 
#JulyComplex2020Fire: 83,261 acres 77% contained",2020-08-01 5:50:29,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 92% contained. 
@CALFIRELMUpic.twitter.com/ZGVBeHAqO5",2020-08-01 2:49:03,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 92% contained. 
@CALFIRELMUpic.twitter.com/VV1imuPPHq",2020-08-01 2:48:18,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 92% contained. 
@CALFIRELMUpic.twitter.com/YA2O9KACIj",2020-08-01 2:37:10,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 92% contained. 
@CALFIRELMUpic.twitter.com/7ybIzW1XTW",2020-08-01 1:55:41,,,
California State Association of Counties®,"#Wildfire update: #AppleFire in #RiversideCounty -- 32,414 acres, 35% contained; #StagecoachFire in #KernCounty -- 7,748 acres, 31% contained; #GoldFire & #HogFire in #LassenCounty -- both 98% contained. For more info, visit the @CAL_FIRE incident map: http://bit.ly/2Nduf70 pic.twitter.com/fHhfYba9XD",2020-08-08 16:40:04,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ …pic.twitter.com/fW7vuioJnh",2020-08-08 14:49:16,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/XNUDEjuJQt",2020-08-08 14:48:22,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
CALFIRELMU

https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/GPSr9A1gFV #QuakeFactor",2020-08-08 14:46:21,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/bbXC8Ltf8p",2020-08-08 14:37:25,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 98% contained. 
@CALFIRELMU
https://fire.ca.gov/incidents/2020/7/18/hog-fire/ … pic.twitter.com/R7vPjBLrLl",2020-08-08 14:11:44,,,
Wildfire Incidents,"Page 1 There is 3 pages 
#CalaverasFire 57 acres 75% contained 
#TrimmerFire 600 acres 15% contained
#Milepost2Fire 100 acres and is 90% contained 
#StagecoachFire 7,748 acres 31% contained  
#HogFire 9,564 acres 98% contained 
#GoldFire 22,634 acres 98% contained",2020-08-08 5:13:22,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 95% contained. @CALFIRELMUpic.twitter.com/HZXgkeFdji",2020-08-04 15:37:12,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/KeyP90Se6V",2020-08-04 14:49:29,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/yO7dIFnd78",2020-08-04 14:48:14,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County remains 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/xLSJhIO5Mt",2020-08-04 14:37:42,,,
CaliforniaDisasters,#HogFire #GoldFire #JulyComplex are done deals now. Thunderstorm activity could blow up some remaining fires on that list and/or start new fires.https://twitter.com/Kathologist/status/1290578594901528577 …,2020-08-04 10:14:58,,,
🤔💡 Kathologist (6 feet to defeat)💨⚗🧜🏽,"Ongoing #NorCalFires2020 Tues Aug 4
THREAD
#RedSalmonComplex Trinity
#JulyComplex Modoc
#NorthFire Lassen
#GoldFire Lassen
#HogFire Lassen
#StumpFire - Tehama
#SitesFire Colusa
#MilePost21 Humboldt",2020-08-04 9:21:29,,,
MarinBuzz,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 95% contained. @CALFIRELMUpic.twitter.com/nelEifeOxB",2020-08-04 7:49:31,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/tSQOi8W3q0",2020-08-04 7:48:21,,,
QuakeFactor,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 95% contained. CALFIRELMU pic.twitter.com/i0TZrqRfR4 #QuakeFactor",2020-08-04 7:46:12,,,
Jonathan Cox,"#RT @CAL_FIRE: #HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/jXEquLqBvL",2020-08-04 7:37:17,,,
CAL FIRE,"#HogFire off Hog Flat Reservoir, West of Susanville in Lassen County is 9,564 acres and 95% contained. @CALFIRELMU pic.twitter.com/CHo1RESBHw",2020-08-04 2:54:16,,,
MarinBuzz,"#RT @CAL_FIRE: #GoldFire off of Highway 139 and County Road A-2, South of Adin in Lassen County is 22,634 acres and 90% contained. Unified Command:  @CALFIRELMU and @ModocNFpic.twitter.com/bKY7LB7PSh",2020-08-02 14:49:11,,,
CAL FIRE PIO,"#RT @CAL_FIRE: #GoldFire off of Highway 139 and County Road A-2, South of Adin in Lassen County is 22,634 acres and 90% contained. Unified Command:  @CALFIRELMU and @ModocNF pic.twitter.com/SJEd4NyGGU",2020-08-02 14:48:18,,,
QuakeFactor,"#GoldFire off of Highway 139 and County Road A-2, South of Adin in Lassen County is 22,634 acres and 90% contained. Unified Command:  CALFIRELMU and ModocNF pic.twitter.com/WpMt6ssYLN #QuakeFactor",2020-08-02 14:46:18,,,
Jonathan Cox,"#RT @CAL_FIRE: #GoldFire off of Highway 139 and County Road A-2, South of Adin in Lassen County is 22,634 acres and 90% contained. Unified Command:  @CALFIRELMU and @ModocNF pic.twitter.com/UpdW9QHgh0",2020-08-02 14:37:22,,,
CAL FIRE,"#GoldFire off of Highway 139 and County Road A-2, South of Adin in Lassen County is 22,634 acres and 90% contained. Unified Command:  @CALFIRELMU and @ModocNF pic.twitter.com/YILSnFzblK",2020-08-02 14:09:57,,,
QuakeFactor,"RT CALFIRELMU: #GoldFire off of Highway 139 and County Rd. A-2, south of Adin remains at 22,634 acres and 85% contained. 
CALFIRE_PIO ModocNF ModocSheriff pic.twitter.com/o2r8A9mdDB #QuakeFactor",2020-08-02 7:46:19,,,
